web-scraper-order,web-scraper-start-url,vinregex,makemodel
"1541788755-672","https://www.cars.com/vehicledetail/detail/754190225/overview/","5J8TC2H70KL017773","New 2019 Acura RDX Advance Package"
"1541787448-72","https://www.cars.com/vehicledetail/detail/754190828/overview/","1C6SRFMT9KN719234","New 2019 RAM 1500 Big Horn"
"1541790503-1381","https://www.cars.com/vehicledetail/detail/754189407/overview/","KMHD84LF5KU783020","New 2019 Hyundai Elantra SEL"
"1541788939-761","https://www.cars.com/vehicledetail/detail/754190136/overview/","5J8TB4H36GL014802","Used 2016 Acura RDX Base"
"1541788880-732","https://www.cars.com/vehicledetail/detail/754190165/overview/","2HKRM4H5XGH687472","Used 2016 Honda CR-V EX"
"1541788134-385","https://www.cars.com/vehicledetail/detail/754190512/overview/","null","New 2017 Chevrolet Silverado 2500 LWB, 2WD, Reg Cab Pickup"
"1541791646-1742","https://www.cars.com/vehicledetail/detail/754188864/overview/","5YFBURHE7KP898381","New 2019 Toyota Corolla SE"
"1541789634-1073","https://www.cars.com/vehicledetail/detail/754189812/overview/","1FTEW1CP5FKF11798","Used 2015 Ford F-150 XLT"
"1541788272-449","https://www.cars.com/vehicledetail/detail/754190448/overview/","3KPC24A33KE058265","New 2019 Hyundai Accent SE"
"1541790076-1248","https://www.cars.com/vehicledetail/detail/754189605/overview/","2FMPK3K9XKBB12159","New 2019 Ford Edge Titanium"
"1541792120-1896","https://www.cars.com/vehicledetail/detail/754188633/overview/","1GYS4BKJ8KR196633","New 2019 Cadillac Escalade Luxury"
"1541789798-1138","https://www.cars.com/vehicledetail/detail/754189739/overview/","5N1AZ2MG0JN196227","New 2018 Nissan Murano S"
"1541789595-1057","https://www.cars.com/vehicledetail/detail/754189830/overview/","2FMHK6D85JBA01138","Used 2018 Ford Flex Limited"
"1541788909-746","https://www.cars.com/vehicledetail/detail/754190151/overview/","WMWXP5C53K2H95213","New 2019 MINI Hardtop Cooper"
"1541791470-1698","https://www.cars.com/vehicledetail/detail/754188951/overview/","4JGED6EB3KA133478","New 2019 Mercedes-Benz AMG GLE 43 Coupe 4MATIC"
"1541789411-978","https://www.cars.com/vehicledetail/detail/754189918/overview/","5YFBURHE5KP907868","New 2019 Toyota Corolla SE"
"1541790501-1380","https://www.cars.com/vehicledetail/detail/754189408/overview/","YV4952CZ1D1664769","Used 2013 Volvo XC90 AWD 4dr"
"1541788097-368","https://www.cars.com/vehicledetail/detail/754190529/overview/","null","New 2017 Chevrolet Silverado 2500 LWB, 2WD, Crew Cab"
"1541788840-713","https://www.cars.com/vehicledetail/detail/754190184/overview/","3GNEC12J18G266649","Used 2008 Chevrolet Avalanche 1500 LS"
